Average Assists,Average Deaths,Average Headshots,Headshots per Match,K/D Ratio,K/D Ratio (%),K/R Ratio,Average Kills,Average MVPs,Average Penta Kills,Average Quadro Kills,Average Triple Kills,Matches,Wins,Winrate,Rounds,Rank,Elo,Nickname
3.4941176470588236,18.705882352941178,0.27307904919845216,5.811764705882353,219,1.1377358490566039,0.8328729281767956,21.28235294117647,2.7529411764705882,0.023529411764705882,0.3058823529411765,1.4,85,39,0.4588235294117647,2172,1,757,xBLdSx
3.193877551020408,18.081632653061224,0.4159941305942773,5.785714285714286,-409,0.7691873589164786,0.5627580511973576,13.908163265306122,1.9795918367346939,0.0,0.07142857142857142,0.5612244897959183,98,44,0.4489795918367347,2422,1,690,KiborgUbitsa
3.125,17.355263157894736,0.2703402366863905,4.809210526315789,66,1.0250189537528431,0.7216439818521484,17.789473684210527,2.1776315789473686,0.013157894736842105,0.125,0.9210526315789473,152,71,0.46710526315789475,3747,1,786,M1ndPunisher
3.951219512195122,19.24390243902439,0.3149492017416546,5.2926829268292686,-100,0.8732572877059569,0.6457357075913777,16.804878048780488,1.9024390243902438,0.0,0.0975609756097561,0.7804878048780488,41,19,0.4634146341463415,1067,1,747,WildSt
2.7796610169491527,18.847457627118644,0.44490644490644493,7.254237288135593,-150,0.8651079136690647,0.635822868473232,16.305084745762713,1.7966101694915255,0.01694915254237288,0.06779661016949153,0.8305084745762712,59,28,0.4745762711864407,1513,2,807,-Lunarr
2.5559006211180124,15.372670807453416,0.5436868032149339,6.512422360248447,-1093,0.7791919191919192,0.5575310783463429,11.978260869565217,1.6645962732919255,0.024844720496894408,0.12732919254658384,0.6770186335403726,322,164,0.5093167701863354,6918,1,800,BubbleUK
2.0727272727272728,15.563636363636364,0.5309278350515464,5.618181818181818,-274,0.6799065420560748,0.4762684124386252,10.581818181818182,1.290909090909091,0.0,0.14545454545454545,0.5818181818181818,55,22,0.4,1222,1,585,kayelka
3.1470588235294117,17.558823529411764,0.29476584022038566,3.1470588235294117,-234,0.6080402010050251,0.4879032258064516,10.676470588235293,1.0588235294117647,0.0,0.08823529411764706,0.5,34,11,0.3235294117647059,744,1,693,_KARLITO__
2.6857142857142855,17.285714285714285,0.37875,8.657142857142857,195,1.322314049586777,0.9603841536614646,22.857142857142858,3.6285714285714286,0.11428571428571428,0.4857142857142857,1.6285714285714286,35,15,0.42857142857142855,833,1,757,ChossumBug
3.2432432432432434,18.027027027027028,0.4010600706713781,6.135135135135135,-101,0.848575712143928,0.6233480176211453,15.297297297297296,1.6756756756756757,0.02702702702702703,0.16216216216216217,0.5135135135135135,37,13,0.35135135135135137,908,1,676,RELAX202
4.518518518518518,17.77777777777778,0.32685512367491165,6.851851851851852,86,1.1791666666666667,0.8397626112759644,20.962962962962962,3.4444444444444446,0.037037037037037035,0.2222222222222222,1.1851851851851851,27,14,0.5185185185185185,674,3,1009,sadGhoul_
3.6,18.04,0.49326599326599324,11.72,143,1.3170731707317074,0.8945783132530121,23.76,2.96,0.12,0.36,1.72,25,12,0.48,664,3,1012,Em1grant777
3.260869565217391,18.82608695652174,0.2964426877470356,3.260869565217391,-180,0.5842956120092379,0.46,11.0,1.434782608695652,0.0,0.0,0.4782608695652174,23,11,0.4782608695652174,550,3,954,BruhNerfIT
0.0,11.0,0.75,3.0,-7,0.36363636363636365,0.3333333333333333,4.0,0.0,0.0,0.0,0.0,1,0,0.0,12,3,951,RyZe-ya
3.1666666666666665,17.75,0.34591194968553457,4.583333333333333,-54,0.7464788732394366,0.5638297872340425,13.25,1.5,0.0,0.08333333333333333,0.8333333333333334,12,6,0.5,282,3,1010,Twinxed3
4.454545454545454,17.09090909090909,0.23783783783783785,4.0,-3,0.9840425531914894,0.6902985074626866,16.818181818181817,2.272727272727273,0.09090909090909091,0.09090909090909091,0.5454545454545454,11,8,0.7272727272727273,268,3,1058,Marcus2104
4.714285714285714,13.285714285714286,0.42857142857142855,6.0,5,1.053763440860215,0.6447368421052632,14.0,2.4285714285714284,0.14285714285714285,0.0,1.1428571428571428,7,4,0.5714285714285714,152,3,1029,Majtchino
3.25,10.5,0.49411764705882355,10.5,43,2.0238095238095237,1.0897435897435896,21.25,4.5,0.0,0.25,2.5,4,3,0.75,78,3,1092,Kazousek
3.2903225806451615,15.612903225806452,0.43097643097643096,8.258064516129032,110,1.2272727272727273,0.8296089385474861,19.161290322580644,2.5806451612903225,0.06451612903225806,0.3225806451612903,1.2580645161290323,31,16,0.5161290322580645,716,3,1055,Fuck_youu
3.5,17.333333333333332,0.4049586776859504,5.444444444444445,-70,0.7756410256410257,0.5475113122171946,13.444444444444445,1.4444444444444444,0.0,0.0,0.4444444444444444,18,11,0.6111111111111112,442,3,1035,7ym4n
3.189189189189189,18.283783783783782,0.3947172619047619,7.168918918918919,-18,0.9933481152993349,0.680161943319838,18.16216216216216,2.6013513513513513,0.02027027027027027,0.14864864864864866,0.9662162162162162,148,76,0.5135135135135135,3952,3,1090,NIKSI_999
3.2458100558659218,18.231843575418996,0.26504086828353207,5.5251396648044695,936,1.1434043205147848,0.7904045753018428,20.8463687150838,3.078212290502793,0.030726256983240222,0.29608938547486036,1.2569832402234637,358,188,0.5251396648044693,9442,5,1337,LOvLEX
2.9591836734693877,17.903790087463555,0.35166639303890984,6.244897959183674,-50,0.9918580035824784,0.6877822944896116,17.75801749271137,2.3644314868804663,0.014577259475218658,0.14285714285714285,0.9708454810495627,343,171,0.49854227405247814,8856,4,1185,OLEJIK_226
