player_faceit_id,avg_kills,avg_deaths,avg_assists,avg_damage,headshots,avg_kd_ratio,avg_kr_ratio,avg_mvps,avg_mk_2k,avg_3k,avg_4k,avg_5k,flash_thrown,avg_useful_flash,avg_flash_duration,avg_he_thrown,avg_useful_he,avg_he_damage,avg_kast,avg_hltv,avg_first_blood,avg_first_death,avg_bomb_planted,avg_bomb_defused,avg_bomb_actions_total,matches_amount,elo
0583bdf2-ea0d-4ec5-820c-2d638c643636,16.4081632653061224,19.1020408163265306,4.836734693877551,72.0194484391217,45.3673469387755102,0.8855102040816326,0.6177551020408163,2.306122448979592,3.326530612244898,0.673469387755102,0.12244897959183673,0.02040816326530612,14.10204081632653,9.857142857142858,52.568541661387755,9.73469387755102,2.4285714285714284,60.36734693877551,77.17310719829389,0.8808384090640483,2.2857142857142856,2.2448979591836733,1.4897959183673469,0.16326530612244897959,1.6530612244897959,50,1021
05b9b28f-65c3-4ef7-9a2d-4689ae04cdad,20.8297872340425532,20.5531914893617021,5.1276595744680851,81.90640077614641,37.3617021276595745,1.074893617021277,0.7457446808510638,3.127659574468085,4.0638297872340425,1.1914893617021276,0.2553191489361702,0.02127659574468085,14.106382978723405,10.702127659574469,54.54302205242554,5.617021276595745,1.2553191489361701,39.40425531914894,78.9193644650064,1.03713487258393,3.5319148936170213,3.4468085106382977,1.1063829787234043,0.34042553191489361702,1.4468085106382979,50,1203
05eec94d-6b56-4990-a12f-cfdc027d1ffb,17.98,18.48,4.22,70.3189348509444,38.94,1.0528,0.6862,2.58,3.34,0.84,0.14,0,20.02,13.7,61.71958715039998,3.6,0.8,18.38,81.50414257093506,0.9729787466233414,1.86,1.96,2.04,0.24,2.28,50,1801
06d91579-5791-4c42-9a12-44bac44d911f,21.3636363636363636,21.1136363636363636,5.5,87.50195535321804,44.3636363636363636,1.073636363636364,0.7686363636363637,3.090909090909091,4.068181818181818,1.0227272727272727,0.3181818181818182,0.022727272727272728,5.954545454545454,4.2272727272727275,21.908712204454545,4.931818181818182,1.6136363636363635,39.38636363636363,82.11501220877345,1.0351826144154235,3.272727272727273,3.659090909090909,0.86363636363636363636,0.31818181818181818182,1.1818181818181818,50,1251
074d5cd6-98f0-463e-8845-d2f07a35c961,22.42,17.82,3.56,87.64128052883557,39.34,1.3434,0.8540000000000002,3.32,4.44,1.26,0.3,0.02,6.68,4.28,21.65583651502,5.58,1.3,31.06,82.87562602316427,1.1933472293052072,3.18,2.44,0.96,0.4,1.36,50,1893
07681c8b-33cb-4b00-a2e4-5d78834f509b,19.6304347826086957,20.7826086956521739,3.8043478260869565,70.89474410880328,58.7391304347826087,0.971304347826087,0.6910869565217393,2.9130434782608696,3.8260869565217392,1.065217391304348,0.13043478260869565,0.043478260869565216,5.369565217391305,3.5869565217391304,18.10538049530435,5.1521739130434785,1.3043478260869565,35,78.59820781760186,0.9578889870283516,2.260869565217391,2.9565217391304346,1.5217391304347826,0.5,2.0217391304347826,50,1316
07977c20-e8e2-43d4-af15-edae14d048cf,19.0612244897959184,15.5714285714285714,2.6530612244897959,74.95551820624497,45.163265306122449,1.7014285714285717,0.7702040816326532,3.061224489795918,3.5918367346938775,1,0.20408163265306123,0.04081632653061224,5.571428571428571,3.857142857142857,18.907392271346936,2.7755102040816326,0.6530612244897959,21.79591836734694,83.47066120151175,1.1483869657024843,2.142857142857143,1.469387755102041,1.7142857142857143,0.24489795918367346939,1.9591836734693878,50,1812
079f93be-817c-4c6d-a2e3-a3a821539d6b,15.4583333333333333,20.4375,3.5833333333333333,64.44017158992958,48.0833333333333333,0.7843750000000004,0.5797916666666666,1.9583333333333333,3.0625,0.625,0.10416666666666667,0,4.6875,3.0833333333333335,13.369737526333331,0.6458333333333334,0.3958333333333333,16.645833333333332,78.66506190240003,0.7993777264795296,1.875,3.125,0.64583333333333333333,0.125,0.77083333333333333333,50,825
07c0b0d0-389a-4c9f-96f2-0857075b85b7,16.8979591836734694,19.326530612244898,4.3877551020408163,75.2512933415486,36.5102040816326531,0.9267346938775509,0.6491836734693878,2.4285714285714284,2.9591836734693877,0.7755102040816326,0.1836734693877551,0.04081632653061224,5.428571428571429,3.7551020408163267,21.12685010514285,10.408163265306122,3.020408163265306,85.9795918367347,78.37667587123026,0.8980435812364178,2.5306122448979593,3.0408163265306123,1.3061224489795918,0.18367346938775510204,1.4897959183673469,50,998
087860d2-9b5b-402f-b4a1-2a812684bbd2,16.7755102040816327,19.163265306122449,3.9387755102040816,71.55284819152358,39.0816326530612245,0.9022448979591837,0.6475510204081631,2.510204081632653,2.836734693877551,0.9183673469387755,0.14285714285714285,0,1.6122448979591837,1.2040816326530612,5.587818749714286,2.326530612244898,0.6938775510204082,36.06122448979592,80.23313206232262,0.8942572051096779,2.6122448979591835,3.061224489795918,1.3469387755102041,0.32653061224489795918,1.673469387755102,50,728
0970f55d-23f5-48e6-ad22-108e9d603f13,18.6,19.34,3.58,78.6609073679284,47.54,0.9828,0.722,2.62,3.5,0.96,0.32,0,6.54,4.3,20.209755227080006,6.02,2.34,81.02,79.85472536543885,0.9849318144284044,3.68,3.46,0.4,0.32,0.72,50,1010
09e482d2-08e6-4196-87ae-4c9d0f646aad,19.6666666666666667,18.6666666666666667,1.3333333333333333,74.43038096336447,37.6666666666666667,1.0533333333333335,0.75,3.6666666666666665,3.3333333333333335,1.3333333333333333,0,0.3333333333333333,4.666666666666667,3.3333333333333335,15.154520042666666,3.6666666666666665,0.3333333333333333,0.6666666666666666,73.81693768500365,1.091571855403877,4,3.3333333333333335,1,1.6666666666666667,2.6666666666666667,50,1181
0a2cfd97-3690-47b7-8886-fa5f8b44558d,15.4,18.875,3.95,67.19631299494195,36.625,0.8490000000000002,0.6024999999999999,1.975,2.45,0.7,0.15,0,13.325,9.375,42.26984909259999,4.95,1.525,44.125,82.27983165066499,0.8452568577015442,2.025,2.775,1.25,0.225,1.475,46,925
0a40848a-ce6f-4917-a21e-3b331375bdd0,18.12,19.88,5.84,74.19466563629044,45.24,0.9894,0.6531999999999999,2.38,2.98,0.98,0.14,0.06,16.8,12.2,69.19602809727998,7.5,2.56,90.36,81.6809884211975,0.9401102025878535,2.76,3.3,1.34,0.24,1.58,50,1355
